semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Fall%202015,16305,PLME1000-S01,PLME1000,PLME Senior Seminar in Scientific Medicine,-4,40,Wilson Hall 101,M,30600,35400
Fall%202015,16598,UNIV0456-S01,UNIV0456,Stages of the Contemplative Path,988,999,Wilson Hall 309,T,32400,37200
Fall%202015,16207,UNIV1700-S01,UNIV1700,Transformation of the Research University,15,20,Giddings House 114,W,54000,63000
Fall%202015,17160,UNIV1950-S01,UNIV1950,Capstone Seminar in Contemplative Studies,34,40,59 George St- S. Miller House 101,T,66600,75600
Fall%202015,16124,TAPS0030-S02,TAPS0030,Introduction to Acting and Directing,8,18,Lyman Hall 007,T,54000,62400
Fall%202015,16138,TAPS0100-S01,TAPS0100,Playwriting I,2,14,Lyman Hall 007,F,36000,46200
Fall%202015,16140,TAPS0100-S02,TAPS0100,Playwriting I,-1,14,Churchill House 106,T,46800,51600
Fall%202015,16123,TAPS0030-S01,TAPS0030,Introduction to Acting and Directing,-1,18,Stuart Theatre STRASBERG,T,34200,42600
Fall%202015,16141,TAPS0200-S01,TAPS0200,Playwriting II,7,14,Lyman Hall 005,T,46800,57000
Fall%202015,16130,TAPS0220-S02,TAPS0220,Persuasive Communication,0,18,Lyman Hall 007,M,46800,57000
Fall%202015,16129,TAPS0220-S01,TAPS0220,Persuasive Communication,2,18,Lyman Hall 007,M,32400,42600
Fall%202015,16133,TAPS0220-S05,TAPS0220,Persuasive Communication,6,18,Lyman Hall 211,M,32400,42600
Fall%202015,16131,TAPS0220-S03,TAPS0220,Persuasive Communication,3,18,Lyman Hall 005,M,32400,42600
Fall%202015,16132,TAPS0220-S04,TAPS0220,Persuasive Communication,4,18,Lyman Hall 005,M,46800,57000
Fall%202015,15989,SLAV1300-S01,SLAV1300,Sociolinguistics (with Case Studies on the Former USSR and Eastern Europe),13,20,J. Walter Wilson 201,F,54000,63000
Fall%202015,16581,SLAV1250-S01,SLAV1250,Polish Culture Through Film,995,999, ,R,57600,68400
Fall%202015,14860,SIGN0500-S01,SIGN0500,American Sign Language V,13,18,Smith-Buonanno Hall G01,T,52200,57000
Fall%202015,14857,SIGN0100-S01,SIGN0100,"American Sign Language I, II",3,18,Wilson Hall 205,M,39600,42600
Fall%202015,14859,SIGN0300-S01,SIGN0300,American Sign Language III,5,18,Smith-Buonanno Hall G01,T,46800,51600
Fall%202015,17146,SIGN0100-S02,SIGN0100,"American Sign Language I, II",6,18,Sayles Hall 300,M,32400,35400
Fall%202015,15429,SOC0010-S01,SOC0010,Social Problems,944,999,Wilson Hall 302,T,52200,57000
Fall%202015,16819,SOC0150-S01,SOC0150,Economic Development and Social Change,93,128,Smith-Buonanno Hall 106,M,43200,46200
Fall%202015,15520,SOC0230-S01,SOC0230,"Sex, Gender, and Society",928,999,Wilson Hall 302,M,32400,35400
Fall%202015,15431,SOC1010-S01,SOC1010,Classical Sociological Theory,959,999,Bio Med Center 291,T,32400,37200
Fall%202015,15434,SOC1117-S01,SOC1117,Focus Groups for Market and Social Research ,963,999,Wilson Hall 309,M,30600,35400
Fall%202015,16808,RUSS1019-S01,RUSS1019,Revolution in Russian Women's Writing,25,30,Sayles Hall 204,M,46800,49800
Fall%202015,15987,RUSS0100-S01,RUSS0100,Introductory Russian,8,18,Wilson Hall 305,M,32400,35400
Fall%202015,15988,RUSS0300-S01,RUSS0300,Intermediate Russian,18,18,Wilson Hall 109,T,34200,37200
Fall%202015,15997,RUSS0320E-S01,RUSS0320E,Crime and Punishment through Literature,5,20,111 Thayer St-Watson Institute 138,M,54000,63000
Fall%202015,16176,RUSS0100-S02,RUSS0100,Introductory Russian,7,18,Sayles Hall 005,M,36000,39000
Fall%202015,16177,RUSS0300-S02,RUSS0300,Intermediate Russian,7,18,Wilson Hall 203,M,39600,42600
Fall%202015,15986,RUSS0500-S01,RUSS0500,Advanced Russian,3,18,Wilson Hall 109,M,39600,42600
Fall%202015,16815,RUSS1110-S01,RUSS1110,Special Topics in Russian Studies I: Advanced Reading and Conversation,9,18,Wilson Hall 303,M,43200,46200
Fall%202015,15995,RUSS1250-S01,RUSS1250,Russian Cinema,8,20,J. Walter Wilson 502,R,57600,66600
Fall%202015,16845,RUSS1900-S01,RUSS1900,Russian Jewish Literature and Film,14,20,J. Walter Wilson 503,T,57600,66600
Fall%202015,15535,POBS0100-S01,POBS0100,Elementary Portuguese,992,999,Wilson Hall 205,T,46800,51600
Fall%202015,15538,POBS0610-S01,POBS0610,Mapping Portuguese-Speaking Cultures: Brazil,990,999,J. Walter Wilson 402,T,46800,51600
Fall%202015,15537,POBS0400-S01,POBS0400,Writing and Speaking Portuguese,985,999,Smith-Buonanno Hall 101,M,39600,46200
Fall%202015,15546,POBS0110-S02,POBS0110,Intensive Portuguese,986,999,Salomon Center 203,T,37800,42600
Fall%202015,16909,POBS1601G-S01,POBS1601G,The Politics and Government of Lusophone Countries,39,40,159 George St-Meiklejohn House 102,F,36000,45000
Fall%202015,16267,POBS0850-S01,POBS0850,Comparative Approaches to the Literatures of Brazil and the United States,11,15,Salomon Center 004,M,54000,63000
Fall%202015,16775,POBS1501A-S01,POBS1501A,Out of Portuguese Africa: Deconstructing Portuguese Colonialism in Literature,32,40,159 George St-Meiklejohn House 102,R,57600,66600
Fall%202015,15542,POBS0910-S01,POBS0910,On the Dawn of Modernity,10,20,159 George St-Meiklejohn House 102,M,54000,63000
Fall%202015,16263,PLSH0300-S01,PLSH0300,Intermediate Polish,13,18,Sayles Hall 305,M,39600,42600
Fall%202015,16262,PLSH0100-S01,PLSH0100,Introductory Polish,997,999,Sayles Hall 305,M,36000,39000
Fall%202015,15090,PHIL0030-S01,PHIL0030,Skepticism and Knowledge,980,999,Rockefeller Library 412,T,46800,51600
Fall%202015,15592,PHIL0300C-S01,PHIL0300C,Unacceptable Conclusions: Arguments Against Common Sense,978,999,Sayles Hall 204,T,32400,37200
Fall%202015,15083,PHIL0350-S01,PHIL0350,Ancient Philosophy,959,999,Salomon Center 202,M,43200,46200
Fall%202015,15081,PHIL0450-S01,PHIL0450,The Meaning of Life,935,999,S. Frank Hall for Life Science MARC,M,39600,42600
Fall%202015,15103,PHIL0390-S01,PHIL0390,Global Justice,976,999,101 Thayer Street (VGQ 1st fl) 116E,M,50400,53400
Fall%202015,15527,PHIL0220-S01,PHIL0220,Introduction to Philosophy,970,999,Sayles Hall 204,M,32400,35400
Fall%202015,15085,PHIL0060-S01,PHIL0060,Modern Science and Human Values,896,999,List Art Center 120,M,46800,49800
Fall%202015,15089,PHIL0500-S01,PHIL0500,Moral Philosophy,974,999,Salomon Center 203,T,46800,51600
Fall%202015,17040,PHIL0850-S01,PHIL0850,Philosophy of Language,994,999,Wilson Hall 205,M,46800,49800
Fall%202015,15080,PHIL0540-S01,PHIL0540,Logic,944,999,Wilson Hall 102,M,36000,39000
Fall%202015,15814,NEUR0010-S01,NEUR0010,The Brain: An Introduction to Neuroscience,654,999,Salomon Center DECI,T,46800,51600
Fall%202015,15897,NEUR1030-S01,NEUR1030,Neural Systems,885,999,85 Waterman Street 130,T,52200,57000
Fall%202015,15852,NEUR2030-S01,NEUR2030,Advanced Molecular and Cellular Neurobiology I,986,999,S. Frank Hall for Life Science 318,M,34200,44400
Fall%202015,16590,NEUR2010-S01,NEUR2010,Graduate Proseminar in Neuroscience,968,999,S. Frank Hall for Life Science MARC,R,57600,60600
Fall%202015,15951,MGRK0300-S01,MGRK0300,Intermediate Modern Greek,997,999,Wilbour Hall 102A,T,37800,42600
Fall%202015,15932,MGRK0100-S01,MGRK0100,Introduction to Modern Greek,994,999,J. Walter Wilson 501,M,43200,46200
Fall%202015,14874,MCM0110-S01,MCM0110,Theory and Analysis of Modern Culture and Media,939,999,Barus & Holley 168,M,46800,49800
Fall%202015,14951,KREA0100-S01,KREA0100,Korean,8,18,Sayles Hall 005,M,32400,35400
Fall%202015,14975,KREA0500-S01,KREA0500,Advanced Korean,14,18,Sayles Hall 104,M,46800,49800
Fall%202015,15055,KREA0910B-S01,KREA0910B,Media Korean,16,20,54 College St-Gerard House 302,T,37800,42600
Fall%202015,14952,KREA0100-S02,KREA0100,Korean,6,18,Sayles Hall 005,T,28800,31800
Fall%202015,14968,KREA0300-S01,KREA0300,Intermediate Korean,988,999,Sayles Hall 005,T,37800,42600
Fall%202015,14994,EAST0180-S01,EAST0180,"Japan: Nature, Ritual, and the Arts",981,999,Wilson Hall 105,T,52200,57000
