semester,week_day,hour,minute,num_people
Fall%202015,0,8,30,166
Fall%202015,0,8,31,166
Fall%202015,0,8,32,166
Fall%202015,0,8,33,166
Fall%202015,0,8,34,166
Fall%202015,0,8,35,166
Fall%202015,0,8,36,166
Fall%202015,0,8,37,166
Fall%202015,0,8,38,166
Fall%202015,0,8,39,166
Fall%202015,0,8,40,166
Fall%202015,0,8,41,166
Fall%202015,0,8,42,166
Fall%202015,0,8,43,166
Fall%202015,0,8,44,166
Fall%202015,0,8,45,166
Fall%202015,0,8,46,166
Fall%202015,0,8,47,166
Fall%202015,0,8,48,166
Fall%202015,0,8,49,166
Fall%202015,0,8,50,166
Fall%202015,0,8,51,166
Fall%202015,0,8,52,166
Fall%202015,0,8,53,166
Fall%202015,0,8,54,166
Fall%202015,0,8,55,166
Fall%202015,0,8,56,166
Fall%202015,0,8,57,166
Fall%202015,0,8,58,166
Fall%202015,0,8,59,166
Fall%202015,0,9,0,1090
Fall%202015,0,9,1,1090
Fall%202015,0,9,2,1090
Fall%202015,0,9,3,1090
Fall%202015,0,9,4,1090
Fall%202015,0,9,5,1090
Fall%202015,0,9,6,1090
Fall%202015,0,9,7,1090
Fall%202015,0,9,8,1090
Fall%202015,0,9,9,1090
Fall%202015,0,9,10,1090
Fall%202015,0,9,11,1090
Fall%202015,0,9,12,1090
Fall%202015,0,9,13,1090
Fall%202015,0,9,14,1090
Fall%202015,0,9,15,1090
Fall%202015,0,9,16,1090
Fall%202015,0,9,17,1090
Fall%202015,0,9,18,1090
Fall%202015,0,9,19,1090
Fall%202015,0,9,20,1090
Fall%202015,0,9,21,1090
Fall%202015,0,9,22,1090
Fall%202015,0,9,23,1090
Fall%202015,0,9,24,1090
Fall%202015,0,9,25,1090
Fall%202015,0,9,26,1090
Fall%202015,0,9,27,1090
Fall%202015,0,9,28,1090
Fall%202015,0,9,29,1090
Fall%202015,0,9,30,1090
Fall%202015,0,9,31,1090
Fall%202015,0,9,32,1090
Fall%202015,0,9,33,1090
Fall%202015,0,9,34,1090
Fall%202015,0,9,35,1090
Fall%202015,0,9,36,1090
Fall%202015,0,9,37,1090
Fall%202015,0,9,38,1090
Fall%202015,0,9,39,1090
Fall%202015,0,9,40,1090
Fall%202015,0,9,41,1090
Fall%202015,0,9,42,1090
Fall%202015,0,9,43,1090
Fall%202015,0,9,44,1090
Fall%202015,0,9,45,1090
Fall%202015,0,9,46,1090
Fall%202015,0,9,47,1090
Fall%202015,0,9,48,1090
Fall%202015,0,9,49,1090
Fall%202015,0,9,50,38
Fall%202015,0,9,51,38
Fall%202015,0,9,52,38
Fall%202015,0,9,53,38
Fall%202015,0,9,54,38
Fall%202015,0,9,55,38
Fall%202015,0,9,56,38
Fall%202015,0,9,57,38
Fall%202015,0,9,58,38
Fall%202015,0,9,59,38
Fall%202015,0,10,0,1336
Fall%202015,0,10,1,1336
Fall%202015,0,10,2,1336
Fall%202015,0,10,3,1336
Fall%202015,0,10,4,1336
Fall%202015,0,10,5,1336
Fall%202015,0,10,6,1336
Fall%202015,0,10,7,1336
Fall%202015,0,10,8,1336
Fall%202015,0,10,9,1336
Fall%202015,0,10,10,1336
Fall%202015,0,10,11,1336
Fall%202015,0,10,12,1336
Fall%202015,0,10,13,1336
Fall%202015,0,10,14,1336
Fall%202015,0,10,15,1336
Fall%202015,0,10,16,1336
Fall%202015,0,10,17,1336
Fall%202015,0,10,18,1336
Fall%202015,0,10,19,1336
Fall%202015,0,10,20,1336
Fall%202015,0,10,21,1336
Fall%202015,0,10,22,1336
Fall%202015,0,10,23,1336
Fall%202015,0,10,24,1336
Fall%202015,0,10,25,1336
Fall%202015,0,10,26,1336
Fall%202015,0,10,27,1336
Fall%202015,0,10,28,1336
Fall%202015,0,10,29,1336
Fall%202015,0,10,30,1336
Fall%202015,0,10,31,1336
Fall%202015,0,10,32,1336
Fall%202015,0,10,33,1336
Fall%202015,0,10,34,1336
Fall%202015,0,10,35,1336
Fall%202015,0,10,36,1336
Fall%202015,0,10,37,1336
Fall%202015,0,10,38,1336
Fall%202015,0,10,39,1336
Fall%202015,0,10,40,1336
Fall%202015,0,10,41,1336
Fall%202015,0,10,42,1336
