date,temperature,wind speed,rain,snow
"12:51 AM EDT on April 07, 2015",5.6,7.4,0,0
"1:51 AM EDT on April 07, 2015",5.6,11.1,0,0
"2:51 AM EDT on April 07, 2015",5.0,9.3,0,0
"3:51 AM EDT on April 07, 2015",5.0,14.8,0,0
"4:51 AM EDT on April 07, 2015",5.0,11.1,0,0
"5:51 AM EDT on April 07, 2015",4.4,14.8,0,0
"6:51 AM EDT on April 07, 2015",4.4,14.8,0,0
"7:04 AM EDT on April 07, 2015",5.0,16.7,0,0
"7:51 AM EDT on April 07, 2015",5.0,11.1,0,0
"8:51 AM EDT on April 07, 2015",5.0,14.8,1,0
"9:51 AM EDT on April 07, 2015",5.6,14.8,0,0
"10:36 AM EDT on April 07, 2015",6.1,18.5,1,0
"10:51 AM EDT on April 07, 2015",6.1,18.5,1,0
"11:51 AM EDT on April 07, 2015",6.1,16.7,1,0
"12:51 PM EDT on April 07, 2015",5.6,18.5,1,0
"1:03 PM EDT on April 07, 2015",5.6,20.4,1,0
"1:10 PM EDT on April 07, 2015",5.6,20.4,1,0
"1:26 PM EDT on April 07, 2015",5.6,18.5,1,0
"1:51 PM EDT on April 07, 2015",5.0,22.2,1,0
"2:17 PM EDT on April 07, 2015",5.0,20.4,1,0
"2:47 PM EDT on April 07, 2015",5.0,24.1,1,0
"2:51 PM EDT on April 07, 2015",5.0,22.2,1,0
"3:09 PM EDT on April 07, 2015",5.0,18.5,1,0
"3:51 PM EDT on April 07, 2015",5.0,14.8,0,0
"4:51 PM EDT on April 07, 2015",4.4,20.4,1,0
"5:35 PM EDT on April 07, 2015",3.9,20.4,1,0
"5:51 PM EDT on April 07, 2015",3.9,16.7,1,0
"6:05 PM EDT on April 07, 2015",3.9,14.8,1,0
"6:51 PM EDT on April 07, 2015",3.9,16.7,1,0
"7:51 PM EDT on April 07, 2015",3.3,11.1,1,0
"8:51 PM EDT on April 07, 2015",3.3,14.8,0,0
"9:02 PM EDT on April 07, 2015",3.3,16.7,0,0
"9:22 PM EDT on April 07, 2015",3.3,9.3,0,0
"9:51 PM EDT on April 07, 2015",3.3,14.8,0,0
"10:51 PM EDT on April 07, 2015",3.3,14.8,0,0
"11:51 PM EDT on April 07, 2015",2.8,11.1,0,0
"12:29 AM EDT on April 08, 2015",2.8,11.1,0,0
"12:51 AM EDT on April 08, 2015",2.8,11.1,0,0
"1:51 AM EDT on April 08, 2015",3.3,11.1,0,0
"2:51 AM EDT on April 08, 2015",2.8,14.8,0,0
"3:31 AM EDT on April 08, 2015",2.8,14.8,0,0
"3:51 AM EDT on April 08, 2015",2.8,13.0,0,0
"4:38 AM EDT on April 08, 2015",2.2,13.0,0,0
"4:51 AM EDT on April 08, 2015",2.2,13.0,0,0
"5:51 AM EDT on April 08, 2015",2.2,16.7,0,0
"6:51 AM EDT on April 08, 2015",2.2,16.7,0,0
"7:16 AM EDT on April 08, 2015",2.8,18.5,0,0
"7:51 AM EDT on April 08, 2015",3.3,22.2,0,0
"8:51 AM EDT on April 08, 2015",4.4,22.2,0,0
"9:06 AM EDT on April 08, 2015",4.4,29.6,0,0
"9:51 AM EDT on April 08, 2015",5.6,25.9,0,0
"10:51 AM EDT on April 08, 2015",7.8,29.6,0,0
"11:51 AM EDT on April 08, 2015",8.9,25.9,0,0
"12:51 PM EDT on April 08, 2015",8.3,27.8,0,0
"1:51 PM EDT on April 08, 2015",7.2,27.8,0,0
"2:51 PM EDT on April 08, 2015",6.1,27.8,0,0
"3:51 PM EDT on April 08, 2015",5.0,25.9,0,0
"4:51 PM EDT on April 08, 2015",3.9,22.2,0,0
"5:08 PM EDT on April 08, 2015",3.9,18.5,0,0
"5:51 PM EDT on April 08, 2015",3.9,18.5,1,0
"6:51 PM EDT on April 08, 2015",3.9,24.1,0,0
"7:51 PM EDT on April 08, 2015",3.9,16.7,0,0
"8:51 PM EDT on April 08, 2015",3.3,14.8,0,0
"9:16 PM EDT on April 08, 2015",2.8,16.7,0,0
"9:51 PM EDT on April 08, 2015",2.2,16.7,1,0
"10:08 PM EDT on April 08, 2015",1.7,16.7,1,0
"10:19 PM EDT on April 08, 2015",1.7,18.5,1,0
"10:32 PM EDT on April 08, 2015",1.7,16.7,1,0
"10:41 PM EDT on April 08, 2015",1.7,20.4,1,0
"10:51 PM EDT on April 08, 2015",1.7,22.2,1,0
"10:58 PM EDT on April 08, 2015",1.7,20.4,1,0
"11:00 PM EDT on April 08, 2015",1.7,22.2,1,0
"11:25 PM EDT on April 08, 2015",1.7,24.1,1,0
"11:51 PM EDT on April 08, 2015",1.7,25.9,1,0
"12:04 AM EDT on April 09, 2015",1.7,25.9,1,0
"12:51 AM EDT on April 09, 2015",1.7,29.6,1,0
"1:21 AM EDT on April 09, 2015",1.1,27.8,1,0
"1:31 AM EDT on April 09, 2015",1.1,29.6,1,0
"1:51 AM EDT on April 09, 2015",1.7,24.1,1,0
"2:51 AM EDT on April 09, 2015",1.7,20.4,0,0
"3:16 AM EDT on April 09, 2015",1.7,24.1,0,0
"3:47 AM EDT on April 09, 2015",2.0,24.1,0,0
"3:51 AM EDT on April 09, 2015",1.7,29.6,0,0
"4:09 AM EDT on April 09, 2015",1.1,20.4,0,0
"4:51 AM EDT on April 09, 2015",1.1,25.9,0,0
"5:51 AM EDT on April 09, 2015",1.7,25.9,0,0
"6:09 AM EDT on April 09, 2015",1.7,27.8,0,0
"6:49 AM EDT on April 09, 2015",1.7,27.8,0,0
"7:03 AM EDT on April 09, 2015",1.7,27.8,0,0
"7:51 AM EDT on April 09, 2015",1.7,25.9,0,0
"8:51 AM EDT on April 09, 2015",2.2,24.1,0,0
"9:51 AM EDT on April 09, 2015",2.8,25.9,0,0
"10:51 AM EDT on April 09, 2015",3.3,29.6,0,0
"11:51 AM EDT on April 09, 2015",3.9,24.1,0,0
"12:51 PM EDT on April 09, 2015",4.4,25.9,0,0
"1:51 PM EDT on April 09, 2015",4.4,24.1,0,0
"2:51 PM EDT on April 09, 2015",4.4,24.1,0,0
"3:51 PM EDT on April 09, 2015",4.4,24.1,0,0
"4:41 PM EDT on April 09, 2015",4.4,24.1,0,0
"4:51 PM EDT on April 09, 2015",3.9,24.1,0,0
"5:17 PM EDT on April 09, 2015",3.9,27.8,0,0
"5:29 PM EDT on April 09, 2015",3.9,25.9,0,0
"5:51 PM EDT on April 09, 2015",3.9,20.4,0,0
"6:51 PM EDT on April 09, 2015",3.3,22.2,0,0
"7:51 PM EDT on April 09, 2015",3.3,20.4,0,0
"8:51 PM EDT on April 09, 2015",2.8,16.7,0,0
"9:51 PM EDT on April 09, 2015",2.8,14.8,0,0
"10:43 PM EDT on April 09, 2015",2.8,13.0,0,0
"10:51 PM EDT on April 09, 2015",2.8,13.0,0,0
"11:38 PM EDT on April 09, 2015",3.0,13.0,0,0
"11:51 PM EDT on April 09, 2015",2.8,14.8,0,0
"11:59 PM EDT on April 09, 2015",3.0,13.0,0,0
"12:51 AM EDT on April 10, 2015",2.8,11.1,0,0
"1:51 AM EDT on April 10, 2015",3.3,5.6,0,0
"2:37 AM EDT on April 10, 2015",3.3,7.4,0,0
