date,seafood,temp,windspeed,rain,snow
8:00 AM April 7 2015,0,5.0,14.8,1,0
8:15 AM April 7 2015,0,5.0,14.8,1,0
8:30 AM April 7 2015,0,5.0,14.8,1,0
8:45 AM April 7 2015,0,5.0,14.8,1,0
9:00 AM April 7 2015,0,5.0,14.8,1,0
9:15 AM April 7 2015,0,5.0,14.8,1,0
9:30 AM April 7 2015,0,5.6,14.8,0,0
9:45 AM April 7 2015,0,5.6,14.8,0,0
10:00 AM April 7 2015,0,5.6,14.8,0,0
10:15 AM April 7 2015,0,6.1,18.5,1,0
10:30 AM April 7 2015,0,6.1,18.5,1,0
10:45 AM April 7 2015,0,6.1,18.5,1,0
11:00 AM April 7 2015,0,6.1,18.5,1,0
11:15 AM April 7 2015,0,6.1,18.5,1,0
11:30 AM April 7 2015,0,6.1,16.7,1,0
11:45 AM April 7 2015,0,6.1,16.7,1,0
12:00 PM April 7 2015,0,6.1,16.7,1,0
12:15 PM April 7 2015,0,6.1,16.7,1,0
12:30 PM April 7 2015,0,5.6,18.5,1,0
12:45 PM April 7 2015,0,5.6,18.5,1,0
1:00 PM April 7 2015,0,5.6,20.4,1,0
1:15 PM April 7 2015,0,5.6,20.4,1,0
1:30 PM April 7 2015,0,5.6,18.5,1,0
1:45 PM April 7 2015,0,5.0,22.2,1,0
2:00 PM April 7 2015,0,5.0,22.2,1,0
2:15 PM April 7 2015,0,5.0,20.4,1,0
2:30 PM April 7 2015,0,5.0,20.4,1,0
2:45 PM April 7 2015,0,5.0,24.1,1,0
3:00 PM April 7 2015,0,5.0,18.5,1,0
3:15 PM April 7 2015,0,5.0,18.5,1,0
3:30 PM April 7 2015,0,5.0,18.5,1,0
3:45 PM April 7 2015,0,5.0,14.8,0,0
4:00 PM April 7 2015,0,5.0,14.8,0,0
4:15 PM April 7 2015,0,5.0,14.8,0,0
4:30 PM April 7 2015,0,4.4,20.4,1,0
4:45 PM April 7 2015,0,4.4,20.4,1,0
5:00 PM April 7 2015,0,4.4,20.4,1,0
5:15 PM April 7 2015,0,3.9,20.4,1,0
5:30 PM April 7 2015,0,3.9,20.4,1,0
5:45 PM April 7 2015,0,3.9,16.7,1,0
6:00 PM April 7 2015,0,3.9,14.8,1,0
6:15 PM April 7 2015,0,3.9,14.8,1,0
6:30 PM April 7 2015,0,3.9,16.7,1,0
6:45 PM April 7 2015,0,3.9,16.7,1,0
7:00 PM April 7 2015,0,3.9,16.7,1,0
7:15 PM April 7 2015,0,3.9,16.7,1,0
7:30 PM April 7 2015,0,3.3,11.1,1,0
8:00 AM April 8 2015,0,4.4,22.2,0,0
8:15 AM April 8 2015,0,4.4,22.2,0,0
8:30 AM April 8 2015,0,4.4,22.2,0,0
8:45 AM April 8 2015,0,4.4,22.2,0,0
9:00 AM April 8 2015,0,4.4,29.6,0,0
9:15 AM April 8 2015,0,4.4,29.6,0,0
9:30 AM April 8 2015,0,5.6,25.9,0,0
9:45 AM April 8 2015,0,5.6,25.9,0,0
10:00 AM April 8 2015,0,5.6,25.9,0,0
10:15 AM April 8 2015,0,5.6,25.9,0,0
10:30 AM April 8 2015,0,7.8,29.6,0,0
10:45 AM April 8 2015,0,7.8,29.6,0,0
11:00 AM April 8 2015,0,7.8,29.6,0,0
11:15 AM April 8 2015,0,7.8,29.6,0,0
11:30 AM April 8 2015,0,8.9,25.9,0,0
11:45 AM April 8 2015,0,8.9,25.9,0,0
12:00 PM April 8 2015,0,8.9,25.9,0,0
12:15 PM April 8 2015,0,8.9,25.9,0,0
12:30 PM April 8 2015,0,8.3,27.8,0,0
12:45 PM April 8 2015,0,8.3,27.8,0,0
1:00 PM April 8 2015,0,8.3,27.8,0,0
1:15 PM April 8 2015,0,8.3,27.8,0,0
1:30 PM April 8 2015,0,7.2,27.8,0,0
1:45 PM April 8 2015,0,7.2,27.8,0,0
2:00 PM April 8 2015,0,7.2,27.8,0,0
2:15 PM April 8 2015,0,7.2,27.8,0,0
2:30 PM April 8 2015,0,6.1,27.8,0,0
2:45 PM April 8 2015,0,6.1,27.8,0,0
3:00 PM April 8 2015,0,6.1,27.8,0,0
3:15 PM April 8 2015,0,6.1,27.8,0,0
3:30 PM April 8 2015,0,5.0,25.9,0,0
3:45 PM April 8 2015,0,5.0,25.9,0,0
4:00 PM April 8 2015,0,5.0,25.9,0,0
4:15 PM April 8 2015,0,5.0,25.9,0,0
4:30 PM April 8 2015,0,3.9,22.2,0,0
4:45 PM April 8 2015,0,3.9,22.2,0,0
5:00 PM April 8 2015,0,3.9,18.5,0,0
5:15 PM April 8 2015,0,3.9,18.5,0,0
5:30 PM April 8 2015,0,3.9,18.5,1,0
5:45 PM April 8 2015,0,3.9,18.5,1,0
6:00 PM April 8 2015,0,3.9,18.5,1,0
6:15 PM April 8 2015,0,3.9,18.5,1,0
6:30 PM April 8 2015,0,3.9,24.1,0,0
6:45 PM April 8 2015,0,3.9,24.1,0,0
7:00 PM April 8 2015,0,3.9,24.1,0,0
7:15 PM April 8 2015,0,3.9,24.1,0,0
7:30 PM April 8 2015,0,3.9,16.7,0,0
8:00 AM April 9 2015,0,2.2,24.1,0,0
8:15 AM April 9 2015,0,2.2,24.1,0,0
8:30 AM April 9 2015,0,2.2,24.1,0,0
8:45 AM April 9 2015,0,2.2,24.1,0,0
9:00 AM April 9 2015,0,2.2,24.1,0,0
9:15 AM April 9 2015,0,2.2,24.1,0,0
9:30 AM April 9 2015,0,2.8,25.9,0,0
9:45 AM April 9 2015,0,2.8,25.9,0,0
10:00 AM April 9 2015,0,2.8,25.9,0,0
10:15 AM April 9 2015,0,2.8,25.9,0,0
10:30 AM April 9 2015,0,3.3,29.6,0,0
10:45 AM April 9 2015,0,3.3,29.6,0,0
11:00 AM April 9 2015,0,3.3,29.6,0,0
11:15 AM April 9 2015,0,3.3,29.6,0,0
11:30 AM April 9 2015,0,3.9,24.1,0,0
11:45 AM April 9 2015,0,3.9,24.1,0,0
12:00 PM April 9 2015,0,3.9,24.1,0,0
12:15 PM April 9 2015,0,3.9,24.1,0,0
12:30 PM April 9 2015,0,4.4,25.9,0,0
12:45 PM April 9 2015,0,4.4,25.9,0,0
1:00 PM April 9 2015,0,4.4,25.9,0,0
1:15 PM April 9 2015,0,4.4,25.9,0,0
1:30 PM April 9 2015,0,4.4,24.1,0,0
1:45 PM April 9 2015,0,4.4,24.1,0,0
2:00 PM April 9 2015,0,4.4,24.1,0,0
2:15 PM April 9 2015,0,4.4,24.1,0,0
2:30 PM April 9 2015,0,4.4,24.1,0,0
2:45 PM April 9 2015,0,4.4,24.1,0,0
3:00 PM April 9 2015,0,4.4,24.1,0,0
3:15 PM April 9 2015,0,4.4,24.1,0,0
3:30 PM April 9 2015,0,4.4,24.1,0,0
3:45 PM April 9 2015,0,4.4,24.1,0,0
4:00 PM April 9 2015,0,4.4,24.1,0,0
4:15 PM April 9 2015,0,4.4,24.1,0,0
4:30 PM April 9 2015,0,4.4,24.1,0,0
4:45 PM April 9 2015,0,4.4,24.1,0,0
5:00 PM April 9 2015,0,3.9,24.1,0,0
5:15 PM April 9 2015,0,3.9,27.8,0,0
5:30 PM April 9 2015,0,3.9,25.9,0,0
5:45 PM April 9 2015,0,3.9,20.4,0,0
6:00 PM April 9 2015,0,3.9,20.4,0,0
6:15 PM April 9 2015,0,3.9,20.4,0,0
6:30 PM April 9 2015,0,3.3,22.2,0,0
6:45 PM April 9 2015,0,3.3,22.2,0,0
7:00 PM April 9 2015,0,3.3,22.2,0,0
7:15 PM April 9 2015,0,3.3,22.2,0,0
7:30 PM April 9 2015,0,3.3,20.4,0,0
8:00 AM April 10 2015,0,4.4,7.4,1,0
8:15 AM April 10 2015,0,4.4,7.4,1,0
8:30 AM April 10 2015,0,4.4,7.4,1,0
8:45 AM April 10 2015,0,4.4,7.4,1,0
9:00 AM April 10 2015,0,4.4,9.3,0,0
9:15 AM April 10 2015,0,4.4,9.3,0,0
9:30 AM April 10 2015,0,5.6,13.0,0,0
9:45 AM April 10 2015,0,5.6,13.0,0,0
10:00 AM April 10 2015,0,5.6,13.0,0,0
10:15 AM April 10 2015,0,5.6,13.0,0,0
10:30 AM April 10 2015,0,6.1,9.3,0,0
10:45 AM April 10 2015,0,6.1,9.3,0,0
11:00 AM April 10 2015,0,6.1,9.3,0,0
11:15 AM April 10 2015,0,6.1,7.4,0,0
11:30 AM April 10 2015,0,6.1,7.4,0,0
11:45 AM April 10 2015,0,6.7,9.3,0,0
12:00 PM April 10 2015,0,6.7,7.4,0,0
12:15 PM April 10 2015,0,6.7,7.4,0,0
12:30 PM April 10 2015,0,6.7,11.1,0,0
12:45 PM April 10 2015,0,6.7,11.1,0,0
1:00 PM April 10 2015,0,6.7,11.1,0,0
1:15 PM April 10 2015,0,6.7,11.1,0,0
1:30 PM April 10 2015,0,6.7,11.1,0,0
1:45 PM April 10 2015,0,6.7,11.1,0,0
2:00 PM April 10 2015,0,6.7,11.1,0,0
2:15 PM April 10 2015,0,6.7,11.1,0,0
2:30 PM April 10 2015,0,6.7,13.0,0,0
2:45 PM April 10 2015,0,6.7,13.0,0,0
3:00 PM April 10 2015,0,6.7,13.0,0,0
3:15 PM April 10 2015,0,6.7,13.0,0,0
3:30 PM April 10 2015,0,7.2,11.1,0,0
3:45 PM April 10 2015,0,7.2,11.1,0,0
4:00 PM April 10 2015,0,7.2,11.1,0,0
4:15 PM April 10 2015,0,7.2,11.1,0,0
4:30 PM April 10 2015,0,8.3,13.0,0,0
4:45 PM April 10 2015,0,8.3,13.0,0,0
5:00 PM April 10 2015,0,8.3,13.0,0,0
5:15 PM April 10 2015,0,8.3,13.0,0,0
5:30 PM April 10 2015,0,9.4,7.4,0,0
5:45 PM April 10 2015,0,9.4,7.4,0,0
6:00 PM April 10 2015,0,12.2,16.7,0,0
6:15 PM April 10 2015,0,12.2,16.7,0,0
6:30 PM April 10 2015,0,12.8,22.2,0,0
6:45 PM April 10 2015,0,12.8,22.2,0,0
7:00 PM April 10 2015,0,12.8,22.2,0,0
7:15 PM April 10 2015,0,12.8,22.2,0,0
7:30 PM April 10 2015,0,12.2,14.8,0,0
8:00 AM April 11 2015,0,11.7,20.4,0,0
8:15 AM April 11 2015,0,11.7,20.4,0,0
8:30 AM April 11 2015,0,11.7,20.4,0,0
8:45 AM April 11 2015,0,11.7,20.4,0,0
9:00 AM April 11 2015,0,11.7,20.4,0,0
9:15 AM April 11 2015,0,11.7,20.4,0,0
9:30 AM April 11 2015,0,13.9,24.1,0,0
9:45 AM April 11 2015,0,13.9,24.1,0,0
10:00 AM April 11 2015,0,13.9,24.1,0,0
10:15 AM April 11 2015,0,13.9,24.1,0,0
10:30 AM April 11 2015,0,13.9,35.2,0,0
10:45 AM April 11 2015,0,13.9,35.2,0,0
11:00 AM April 11 2015,0,13.9,35.2,0,0
11:15 AM April 11 2015,0,13.9,35.2,0,0
11:30 AM April 11 2015,0,13.3,33.3,0,0
11:45 AM April 11 2015,0,13.3,33.3,0,0
12:00 PM April 11 2015,0,13.3,33.3,0,0
12:15 PM April 11 2015,0,13.3,33.3,0,0
12:30 PM April 11 2015,0,13.9,29.6,0,0
12:45 PM April 11 2015,0,13.9,29.6,0,0
1:00 PM April 11 2015,0,13.9,29.6,0,0
1:15 PM April 11 2015,0,13.9,29.6,0,0
1:30 PM April 11 2015,0,14.4,25.9,0,0
1:45 PM April 11 2015,0,14.4,25.9,0,0
2:00 PM April 11 2015,0,14.4,25.9,0,0
2:15 PM April 11 2015,0,14.4,25.9,0,0
2:30 PM April 11 2015,0,14.4,31.5,0,0
2:45 PM April 11 2015,0,14.4,31.5,0,0
3:00 PM April 11 2015,0,14.4,31.5,0,0
3:15 PM April 11 2015,0,14.4,31.5,0,0
3:30 PM April 11 2015,0,13.9,35.2,0,0
3:45 PM April 11 2015,0,13.9,35.2,0,0
4:00 PM April 11 2015,0,13.9,35.2,0,0
4:15 PM April 11 2015,0,13.9,35.2,0,0
4:30 PM April 11 2015,0,13.3,29.6,0,0
4:45 PM April 11 2015,0,13.3,29.6,0,0
5:00 PM April 11 2015,0,13.3,29.6,0,0
5:15 PM April 11 2015,0,13.3,29.6,0,0
5:30 PM April 11 2015,0,12.8,27.8,0,0
5:45 PM April 11 2015,0,12.8,27.8,0,0
6:00 PM April 11 2015,0,12.8,27.8,0,0
6:15 PM April 11 2015,0,12.8,27.8,0,0
6:30 PM April 11 2015,0,10.6,20.4,0,0
6:45 PM April 11 2015,0,10.6,20.4,0,0
7:00 PM April 11 2015,0,10.6,20.4,0,0
7:15 PM April 11 2015,0,10.6,20.4,0,0
7:30 PM April 11 2015,0,8.9,20.4,0,0
8:00 AM April 13 2015,0,10.0,11.1,0,0
8:15 AM April 13 2015,0,10.0,11.1,0,0
8:30 AM April 13 2015,0,10.0,11.1,0,0
8:45 AM April 13 2015,0,10.0,11.1,0,0
9:00 AM April 13 2015,0,10.0,11.1,0,0
9:15 AM April 13 2015,0,10.0,11.1,0,0
9:30 AM April 13 2015,0,12.2,11.1,0,0
9:45 AM April 13 2015,0,12.2,11.1,0,0
10:00 AM April 13 2015,0,12.2,11.1,0,0
10:15 AM April 13 2015,0,12.2,11.1,0,0
10:30 AM April 13 2015,0,15.0,18.5,0,0
10:45 AM April 13 2015,0,15.0,18.5,0,0
11:00 AM April 13 2015,0,15.0,18.5,0,0
11:15 AM April 13 2015,0,15.0,18.5,0,0
11:30 AM April 13 2015,0,16.1,14.8,0,0
11:45 AM April 13 2015,0,16.1,14.8,0,0
12:00 PM April 13 2015,0,16.1,14.8,0,0
12:15 PM April 13 2015,0,16.1,14.8,0,0
12:30 PM April 13 2015,0,15.6,22.2,0,0
12:45 PM April 13 2015,0,15.6,22.2,0,0
1:00 PM April 13 2015,0,15.6,22.2,0,0
1:15 PM April 13 2015,0,15.6,22.2,0,0
1:30 PM April 13 2015,0,14.4,27.8,0,0
1:45 PM April 13 2015,0,14.4,27.8,0,0
