date,temperature,wind speed,rain,snow
8:51 AM April 07 2015,5.0,14.8,1,0
9:51 AM April 07 2015,5.6,14.8,0,0
10:36 AM April 07 2015,6.1,18.5,1,0
10:51 AM April 07 2015,6.1,18.5,1,0
11:51 AM April 07 2015,6.1,16.7,1,0
12:51 PM April 07 2015,5.6,18.5,1,0
1:03 PM April 07 2015,5.6,20.4,1,0
1:10 PM April 07 2015,5.6,20.4,1,0
1:26 PM April 07 2015,5.6,18.5,1,0
1:51 PM April 07 2015,5.0,22.2,1,0
2:17 PM April 07 2015,5.0,20.4,1,0
2:47 PM April 07 2015,5.0,24.1,1,0
2:51 PM April 07 2015,5.0,22.2,1,0
3:09 PM April 07 2015,5.0,18.5,1,0
3:51 PM April 07 2015,5.0,14.8,0,0
4:51 PM April 07 2015,4.4,20.4,1,0
5:35 PM April 07 2015,3.9,20.4,1,0
5:51 PM April 07 2015,3.9,16.7,1,0
6:05 PM April 07 2015,3.9,14.8,1,0
6:51 PM April 07 2015,3.9,16.7,1,0
7:51 PM April 07 2015,3.3,11.1,1,0
8:51 AM April 08 2015,4.4,22.2,0,0
9:06 AM April 08 2015,4.4,29.6,0,0
9:51 AM April 08 2015,5.6,25.9,0,0
10:51 AM April 08 2015,7.8,29.6,0,0
11:51 AM April 08 2015,8.9,25.9,0,0
12:51 PM April 08 2015,8.3,27.8,0,0
1:51 PM April 08 2015,7.2,27.8,0,0
2:51 PM April 08 2015,6.1,27.8,0,0
3:51 PM April 08 2015,5.0,25.9,0,0
4:51 PM April 08 2015,3.9,22.2,0,0
5:08 PM April 08 2015,3.9,18.5,0,0
5:51 PM April 08 2015,3.9,18.5,1,0
6:51 PM April 08 2015,3.9,24.1,0,0
7:51 PM April 08 2015,3.9,16.7,0,0
8:51 AM April 09 2015,2.2,24.1,0,0
9:51 AM April 09 2015,2.8,25.9,0,0
10:51 AM April 09 2015,3.3,29.6,0,0
11:51 AM April 09 2015,3.9,24.1,0,0
12:51 PM April 09 2015,4.4,25.9,0,0
1:51 PM April 09 2015,4.4,24.1,0,0
2:51 PM April 09 2015,4.4,24.1,0,0
3:51 PM April 09 2015,4.4,24.1,0,0
4:41 PM April 09 2015,4.4,24.1,0,0
4:51 PM April 09 2015,3.9,24.1,0,0
5:17 PM April 09 2015,3.9,27.8,0,0
5:29 PM April 09 2015,3.9,25.9,0,0
5:51 PM April 09 2015,3.9,20.4,0,0
6:51 PM April 09 2015,3.3,22.2,0,0
